zone,short_term,type,beta_coef,ci_low,ci_high
High,warming,North,3.677021033370919,1.8400763083594331,5.513965758382405
High,cooling,North,0.2059271031854242,-0.11977952855822036,0.5316337349290687
Low,warming,North,-0.05807050093393115,-0.36338000618018773,0.24723900431232546
Low,cooling,North,3.3516287912724163,2.1142358498923617,4.589021732652471
Low,warming,South,0.6605781063690591,0.16125707264519767,1.1598991400929206
Low,cooling,South,3.086322691764492,1.2719371510637483,4.900708232465235
Mid,warming,North,0.9310796301842723,0.008540493364494584,1.85361876700405
Mid,cooling,North,0.3766603346289579,0.0010752479743101895,0.7522454212836056
Mid,warming,South,0.5942391935106787,-0.7095830320899786,1.898061419111336
Mid,cooling,South,0.21607780214651368,-0.3906917845434182,0.8228473888364456
