depth	age	mgca	sst
4	0.56	2.39	12.02
78	0.63	2.62	12.94
92	0.70	2.22	11.25
92	0.70	2.13	10.87
106	0.77	2.52	12.52
120	0.84	1.78	9.07
134	0.91	2.69	13.18
134	0.91	2.65	13.02
152	0.98	2.53	12.58
174	1.05	2.47	12.33
194	1.12	2.18	11.08
194	1.12	2.27	11.49
208	1.16	2.25	11.40
208	1.16	2.48	12.38
212	1.17	2.23	11.33
212	1.17	2.21	11.21
212	1.17	2.25	11.38
212	1.17	2.25	11.37
216	1.19	2.53	12.57
236	1.26	2.35	11.81
256	1.33	2.04	10.44
274	1.39	2.25	11.38
294	1.47	1.91	9.77
294	1.47	2.00	10.23
314	1.54	2.43	12.16
334	1.61	2.58	12.76
352	1.68	2.34	11.77
362	1.74	2.40	12.05
372	1.82	2.25	11.39
380	1.88	2.21	11.20
390	1.96	2.00	10.23
390	1.96	2.35	11.84
398	2.02	2.24	11.34
398	2.02	2.19	11.14
434	2.17	2.50	12.43
464	2.24	2.62	12.91
488	2.31	2.40	12.02
500	2.38	2.21	11.20
510	2.44	2.12	10.80
510	2.44	1.84	9.40
522	2.52	2.15	10.92
534	2.59	2.32	11.72
544	2.65	2.42	12.10
556	2.73	2.42	12.12
566	2.80	2.36	11.88
574	2.86	2.45	12.25
582	2.93	2.22	11.26
592	3.01	2.41	12.07
600	3.08	2.50	12.45
608	3.14	2.68	13.14
608	3.14	2.49	12.41
618	3.23	2.36	11.87
626	3.29	2.28	11.54
634	3.36	2.29	11.56
642	3.42	2.16	10.97
652	3.50	2.18	11.07
662	3.57	2.14	10.89
670	3.63	1.93	9.84
680	3.70	2.10	10.68
690	3.78	2.13	10.83
700	3.85	1.81	9.23
700	3.85	1.55	7.70
700	3.85	1.82	9.28
710	3.92	1.84	9.36
710	3.92	1.60	7.96
720	3.99	2.18	11.07
728	4.05	2.29	11.59
738	4.12	2.10	10.68
750	4.20	1.79	9.08
750	4.20	1.96	10.02
750	4.20	1.91	9.76
760	4.27	2.24	11.35
760	4.27	1.71	8.64
772	4.34	2.19	11.11
782	4.40	2.18	11.07
794	4.48	1.97	10.09
798	4.50	2.18	11.09
798	4.50	2.07	10.57
798	4.50	1.81	9.21
798	4.50	1.95	9.98
800	4.52	1.94	9.92
800	4.52	1.87	9.52
800	4.52	1.79	9.13
800	4.52	1.81	9.19
802	4.54	1.98	10.14
808	4.61	2.04	10.42
814	4.68	2.14	10.89
814	4.68	1.90	9.73
814	4.68	1.83	9.35
820	4.75	1.81	9.22
820	4.75	1.83	9.34
826	4.82	2.06	10.51
832	4.89	2.00	10.23
838	4.96	2.07	10.57
844	5.03	2.00	10.23
850	5.10	2.09	10.66
856	5.17	2.23	11.32
866	5.25	1.90	9.69
880	5.32	1.92	9.79
894	5.39	1.95	9.96
908	5.46	2.14	10.87
908	5.46	2.05	10.45
918	5.53	1.61	8.06
918	5.53	1.60	7.96
926	5.59	2.08	10.60
